ID (frame),Elapsed Time,Angle left eye,Angle right eye,Block seen,Reaction time block
426,0.01661237,10.12832,9.652986,False,0
427,0.0169974,10.1583,9.709279,False,0
428,0.01700081,10.21989,9.755985,False,0
429,0.01598841,10.27862,9.855066,False,0
430,0.01623452,10.31446,9.88875,False,0
431,0.01679362,10.34524,9.912545,False,0
432,0.01633896,10.35655,9.954336,False,0
433,0.01660725,10.39565,9.98759,False,0
434,0.01699876,10.45412,10.02193,False,0
435,0.01609389,10.53846,10.04831,False,0
436,0.01656698,10.58985,10.11488,False,0
437,0.01656663,10.64233,10.15304,False,0
438,0.01679157,10.69163,10.18304,False,0
439,0.01634204,10.73948,10.21092,False,0
440,0.01661852,10.76516,10.23443,False,0
441,0.01651577,10.80952,10.25893,False,0
442,0.01656527,10.85125,10.21754,False,0
443,0.016895,10.95276,10.21939,False,0
444,0.01623827,10.68124,9.924262,False,0
445,0.0167588,10.05064,11.48648,False,0
446,0.01637514,16.72889,17.92029,False,0
447,0.01660623,20.87568,19.70934,False,0
448,0.01699228,25.94205,24.14305,False,0
449,0.01610174,26.51655,24.49182,False,0
450,0.01688919,26.48418,24.66014,False,0
451,0.01624373,26.5825,24.99226,False,0
452,0.01656732,26.55499,25.04931,False,0
453,0.01656629,26.53175,25.04055,False,0
454,0.01661681,26.49791,25.0353,False,0
455,0.01698272,26.43698,24.9865,False,0
456,0.01610071,26.30301,24.9004,False,0
457,0.01689022,26.02086,24.83777,False,0
458,0.01624271,25.80457,24.73235,False,0
459,0.01656834,25.56801,24.63273,False,0
460,0.01716601,25.44435,24.47332,False,0
461,0.01599353,25.38792,24.41385,False,0
462,0.01654001,25.35944,24.51324,False,0
463,0.01656493,25.33721,24.46564,False,0
464,0.01656698,25.16748,24.34783,False,0
465,0.0173104,25.00526,24.16786,False,0
466,0.01598944,24.84075,23.9208,False,0
467,0.01699637,24.70214,23.73258,False,0
468,0.01599183,24.5974,23.61934,False,0
469,0.01699603,24.54104,23.55906,False,0
470,0.01611573,24.4986,23.474,False,0
471,0.01687486,24.46281,23.45654,False,0
472,0.01625841,24.36879,23.41665,False,0
473,0.01672979,18.43442,17.38998,False,0
474,0.0169974,9.531865,12.61129,False,0
475,0.01600958,13.76357,14.44192,False,0
476,0.01653011,19.83039,21.38143,False,0
477,0.01748346,23.91321,27.01682,False,0
478,0.01596554,28.2813,30.3534,False,0
479,0.01700422,29.41998,32.5335,False,0
480,0.01599524,29.77244,32.77035,False,0
481,0.01638573,30.11961,32.7889,False,0
482,0.01659701,30.24216,32.84321,False,0
483,0.01653591,30.32687,32.90561,False,0
484,0.01656766,30.35244,32.91547,False,0
485,0.01688271,30.38486,32.91066,False,0
486,0.01625158,30.40182,32.84341,False,0
487,0.01672433,30.40464,32.66314,False,0
488,0.01701003,30.38248,32.57668,False,0
489,0.01598944,30.29301,32.47181,False,0
490,0.01654069,30.18916,32.37221,False,0
491,0.01743738,30.08928,32.26759,False,0
492,0.01569623,29.99766,32.17862,False,0
493,0.01656698,29.93346,32.10638,False,0
494,0.01675642,29.8862,32.06104,False,0
495,0.01637583,29.84377,32.02137,False,0
496,0.01657756,29.78559,31.96095,False,0
497,0.01655639,29.71428,31.96351,False,0
498,0.01656698,29.65387,31.8927,False,0
499,0.01685847,29.55786,31.8031,False,0
500,0.01700047,29.45807,31.69848,False,0
501,0.01584062,29.3727,31.6025,False,0
502,0.01656663,29.30022,31.50413,False,0
503,0.01657448,29.22782,31.40132,False,0
504,0.01655981,29.20504,31.29959,False,0
505,0.01656595,29.09957,31.18682,False,0
506,0.01685677,29.01201,31.04687,False,0
507,0.01699671,28.93075,30.94307,False,0
508,0.01599524,28.85364,30.81148,False,0
509,0.01641781,28.77894,30.72347,False,0
510,0.01657175,28.70975,30.64834,False,0
511,0.0165622,28.63337,30.57776,False,0
512,0.01656629,28.57443,30.50816,False,0
513,0.01685267,28.50418,30.43805,False,0
514,0.01699467,28.43793,30.37339,False,0
515,0.01599763,28.3916,30.31807,False,0
516,0.01699091,28.4428,30.27886,False,0
517,0.01600173,28.40802,30.25864,False,0
518,0.0169875,21.91433,24.24592,False,0
519,0.01614099,15.65238,16.22663,False,0
520,0.01684687,11.26278,10.3526,False,0
521,0.0162864,11.02691,10.43909,False,0
522,0.01670692,10.93218,10.62873,False,0
523,0.01642669,10.88942,10.73128,False,0
524,0.01656732,10.89289,10.76627,False,0
525,0.01698955,10.89186,10.79383,False,0
526,0.01614304,10.91977,10.883,False,0
527,0.01684687,10.91578,10.92589,False,0
528,0.01628708,10.89555,10.99068,False,0
529,0.01670044,10.79069,11.02259,False,0
530,0.01643317,10.68078,11.08495,False,0
531,0.01656561,10.63364,11.10367,False,0
532,0.01698784,10.55079,11.11948,False,0
533,0.01614645,10.52703,11.08971,False,0
534,0.01656698,10.46768,11.10053,False,0
535,0.01656663,10.33569,11.09033,False,0
536,0.01669736,10.2918,11.0774,False,0
537,0.0164359,10.2392,11.08701,False,0
538,0.01656971,10.23235,11.09102,False,0
539,0.01656288,10.3116,11.09619,False,0
540,0.01656629,10.36477,11.12277,False,0
541,0.01683936,10.4076,11.15565,False,0
542,0.01629493,10.42896,11.19306,False,0
543,0.01669463,10.46191,11.22183,False,0
544,0.01699467,10.47984,11.2324,False,0
545,0.01600958,10.50332,11.25426,False,0
546,0.01656698,10.52774,11.28512,False,0
547,0.01656663,10.55516,11.30876,False,0
548,0.01683356,10.57354,11.29522,False,0
549,0.01630005,10.59011,11.23435,False,0
550,0.01670726,10.57922,11.2326,False,0
551,0.01697999,10.49764,11.2306,False,0
552,0.01601197,10.52114,11.22407,False,0
553,0.01697657,10.64773,11.34227,False,0
554,0.01615771,11.7139,13.0137,False,0
555,0.01684516,16.35047,17.36938,False,0
556,0.01698169,22.80114,22.33761,False,0
557,0.01599626,27.97656,26.3739,False,0
558,0.01644375,28.16745,26.2907,False,0
559,0.01656629,28.20512,26.26155,False,0
560,0.01656732,28.19724,26.36554,False,0
561,0.01656766,28.10942,26.3987,False,0
562,0.01683253,27.93539,26.3525,False,0
563,0.01629971,27.82208,26.34431,False,0
564,0.01668508,27.77519,26.47389,False,0
565,0.0169974,27.66191,26.45265,False,0
566,0.01601811,27.5424,26.46365,False,0
567,0.01656732,27.46774,26.40319,False,0
568,0.01656629,27.31502,26.27081,False,0
569,0.01682127,27.22447,26.17969,False,0
